speaker,pos
S1,I/PRP will/MD take/VB this/DT one/CD ./.
S1,Please/VB do/VB not/RB compare/VB a/DT race/NN of/IN peoples/NNS fight/VBN for/IN equal/JJ rights/NNS to/TO a/DT class/NN of/IN people/NNS determined/VBN by/IN their/PRP$ sexual/JJ oreintation/NN ./.
S1,It/PRP is/VBZ and/CC insult/NN to/TO all/DT African/JJ Americans/NNS ./.
S2,"Yep/NNP ,/, Coretta/NNP Scott/NNP King/NNP and/CC Jullian/JJ Bond/NNP are/VBP against/IN gay/NN rights/NNS ?/. You/PRP did/VBD say/VB :/: ""/VB all/DT African/JJ Americans/NNPS ""/VBP ./."
S1,We/PRP are/VBP talking/VBG about/IN gay/NN marriage/NN ./.
S1,Can/MD you/PRP cite/VB a/DT link/NN where/WRB they/PRP say/VBP they/PRP are/VBP for/IN gay/JJ marriage/NN ?/. ./.
S2,"ALready/RB been/VBN done,,,/VBN ,/, several/JJ times/NNS ./."
S1,I/PRP did/VBD not/RB think/VB you/PRP could/MD do/VB it/PRP ./.
S2,Julian/JJ Bond/NN :/: Coretta/NNP Scott/NNP King/NNP :/: :p/NN :p/NNP :p/NNP :p/NNP :p/NN ./.
S1,"Thank/NNP you/PRP ,/, I/PRP will/MD amend/VB my/PRP$ statement/NN to/TO most/RBS African/JJ Americans/NNPS ./."
S1,I/PRP wonder/VBP how/WRB Rev/NNP MLK/NNP felt/VBD about/IN the/DT issue/NN ./.
S1,He/PRP has/VBZ much/RB more/RBR creditabilty/NN to/TO me/PRP then/RB either/DT of/IN your/PRP$ examples/NNS ./.
